Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,"<h2>Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled</h2><p>Introducing the <strong>Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled</strong> from Factory Direct Flooring in a stunning <strong>Natural</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74110HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled | Factory Direct Flooring,Buy Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
herringbone-solid-wood-flooring-18mm-natural-uv-oiled,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,"<h2>Herringbone Solid Wood Flooring 18mm Natural Uv Oiled</h2><p>Introducing the <strong>Herringbone Solid Wood Flooring 18mm Natural Uv Oiled</strong> from Factory Direct Flooring in a stunning <strong>Natural</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74111HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled | Factory Direct Flooring,Buy Herringbone Solid Wood Flooring 18mm Natural Uv Oiled at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
herringbone-solid-wood-flooring-18mm-golden-brushed-matt-lacquer,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,"<h2>Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer</h2><p>Introducing the <strong>Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer</strong> from Factory Direct Flooring in a stunning <strong>Golden</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74112HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer | Factory Direct Flooring,Buy Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
herringbone-solid-wood-flooring-18mm-smoke-brushed-oiled,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,"<h2>Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled</h2><p>Introducing the <strong>Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled</strong> from Factory Direct Flooring with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74113HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled | Factory Direct Flooring,Buy Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
byland-18mm-x-120mm-solid-wood-flooring-natural-brushed-uv-oiled,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,"<h2>Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled</h2><p>Introducing the <strong>Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled</strong> from Factory Direct Flooring in a stunning <strong>Natural</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74115S,0,shopify,100,deny,manual,64.77,64.77,TRUE,TRUE,,,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled | Factory Direct Flooring,Buy Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
hinton-18mm-x-120mm-solid-wood-flooring-natural-matt-lacquer,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,"<h2>Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer</h2><p>Introducing the <strong>Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer</strong> from Factory Direct Flooring in a stunning <strong>Natural</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74116S,0,shopify,100,deny,manual,64.77,64.77,TRUE,TRUE,,,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer | Factory Direct Flooring,Buy Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
newminster-18mm-solid-wood-flooring-150mm-natural-oak-matt-lacquer,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,"<h2>Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer</h2><p>Introducing the <strong>Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer</strong> from Factory Direct Flooring in a stunning <strong>Oak</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74117S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer | Factory Direct Flooring,Buy Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
malton-18mm-x-120mm-double-smoked-brushed-matt-lacquer-solid-oak-flooring,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,"<h2>Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring</h2><p>Introducing the <strong>Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring</strong> from Factory Direct Flooring in a stunning <strong>Oak</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74118S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring | Factory Direct Flooring,Buy Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
watton-18mm-x-120mm-solid-oak-flooring-golden-handscraped-matt-lacquer,Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer,"<h2>Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer</h2><p>Introducing the <strong>Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer</strong> from Factory Direct Flooring in a stunning <strong>Oak</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74119S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer,Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer | Factory Direct Flooring,Buy Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
cumaru-18mm-solid-wood-flooring-brushed-oiled-oak-150mm-wide,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,"<h2>Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide</h2><p>Introducing the <strong>Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide</strong> from Factory Direct Flooring in a stunning <strong>Oak</strong> finish with a <strong>18mm</strong> profile. Crafted from 100% real timber, this genuine solid wood floor delivers unmatched natural beauty and character. Every single plank is unique — with its own natural grain, knots and colour variation that make solid wood truly one of a kind and a floor that improves in character and warmth with every passing year.</p>
<h3>Key Highlights</h3><ul><li><strong>100% Real Solid Timber</strong> — authentic grain and natural character in every single plank</li><li><strong>Sand &amp; Refinish</strong> — can be sanded and refinished up to 5 times, making it a truly lifelong investment</li><li><strong>Natural Insulator</strong> — timber naturally retains warmth and helps reduce energy bills</li><li><strong>Adds Property Value</strong> — solid wood is proven to increase the value of your home</li><li><strong>Sustainably Sourced</strong> — certified timber from responsibly managed forests</li><li><strong>Unique Every Time</strong> — no two planks are ever identical</li></ul>
<h3>Installation</h3><p>This solid wood floor can be secret-nailed or glued to a suitable subfloor. Acclimatise for 48–72 hours in the installation room before fitting. Leave a minimum 15mm expansion gap around all fixed objects. Professional installation is strongly recommended to achieve the best results and maintain the manufacturer's warranty.</p>
<h3>Care &amp; Maintenance</h3><p>Sweep or vacuum regularly with a soft brush attachment. Clean with a wood-specific cleaner on a lightly damp, well-wrung mop — avoid excessive moisture at all times. Wipe spills immediately. Use felt pads under all furniture legs. Place mats at entrances to prevent grit being tracked in.</p>
<h3>Why Factory Direct Flooring?</h3><p>We work directly with leading manufacturers and cut out the middleman to bring you premium solid wood floors at unbeatable prices. All products come with free expert advice, a full manufacturer's warranty and competitive UK delivery. Order free samples today.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74126S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide | Factory Direct Flooring,Buy Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide at Factory Direct Flooring. Solid Wood Flooring available at competitive prices. Free UK delivery and expert advice. Order free samples today.,active
